,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
61,FabioAntnioPer1,@GutierrezMarcon Boa noite gente boa Aqui está uma música para você… Rock You Like A Hurricane de Scorpions ,2020-07-30 21:18:24+00:00,0,2,@GutierrezMarcon,,
62,athon_gallera,"01-Neil Young, os dois solos de “Like a Hurricane” já valeriam a vida. 02- David Rhodes; 03- Pat Metheny; 04- Toninho Horta; 05-Hendrix/Page.",2020-07-27 04:59:21+00:00,0,1,,,
63,lanadelreyswife,I'm in love I'm in love love in hurricane I'm in love I'm in love love in a hurricane I've been bad I've been wrong playing a dangerous game I'm in love I'm in love love in a hurricane hurricane hurricane,2020-07-26 20:07:22+00:00,0,0,,,
64,LuzEmperaWisin,#Quakes #predictions New 26/07 ARCO ALEUTIANO M 5.5 TO 7.2 CAN BE IN DAYS ! #Tibet M 6.6 to 7.3 can be in 13 weeks or months or area near! #CoreaSur area M 4.4 to 6.1 can be 4 months! #Colombia M 4.5 to 6.1 can be 10 days or 7/13 months! #HurricAne Area #Mexico BCN 13 weeks!,2020-07-26 19:53:39+00:00,1,1,,#Quakes #predictions #Tibet #CoreaSur #Colombia #HurricAne #Mexico,
65,leo_ronnie_dio,Back to the Future Rock III,2020-07-26 14:38:02+00:00,0,3,,,
66,LuzEmperaWisin,#Hurricane #Hanna #Texas #GolfoDeMéxico 25/07 : #predicción del 04/05 CAT2 POR EL GOLFO EN 9 SEMANAS Y MARCABA 1 POR ÀREA #Mississippi :: 10 semanas después #Huracàn HANNA CAT1...,2020-07-26 01:21:59+00:00,0,2,,#Hurricane #Hanna #Texas #GolfoDeM #predicci #Mississippi #Hurac,
67,RogrioA33573465,Não entendi o motivo de tanto ??,2020-07-25 21:29:05+00:00,0,0,,,
68,RuanBurdino,#jump #motocrosslife #tablejump #offroading jorge.negretti vc é o cara! Tô começando a aprender #mestre thiago_hurricane me ensina tio! heliomazzarella faltou vc chefe luigiib2009 @RlmotosR yamahaperformance @São… https://www.instagram.com/p/CDE_SrKpy7d/?igshid=dxd4eu186i7n,2020-07-25 20:09:44+00:00,0,0,@RlmotosR,#jump #motocrosslife #tablejump #offroading #mestre,
69,ODROCKnROLL,Today...is @myMotorhead Just want to say...I got all this albums and I really appreciate all.. ,2020-07-25 19:28:05+00:00,0,4,@myMotorhead,,
70,ademergasso76,"En la madrugada de Argentina, se cortó el larguísimo invicto que traía #Crusaders jugando de local, cayendo ante #Hurricanes (el último equipo que lo había vencido en 2016) 32-34 #SuperRugbyAotearoa",2020-07-25 17:47:06+00:00,0,0,,#Crusaders #Hurricanes #SuperRugbyAotearoa,
71,JJuanAcevedo,TRE MEN DO lo de Hurricanes,2020-07-25 08:52:23+00:00,0,0,,,
72,alegzalez,Hace mucho tiempo que Crusaders no pierde un segundo tiempo. Hay que ver si Hurricanes puede aguantar el ritmo.,2020-07-25 07:55:40+00:00,0,0,,,
73,Leskzuera,here comes a story of a hurricane,2020-07-25 02:57:11+00:00,1,3,,,
74,AlejoMagorno,"hello, is it a hurricane? @flightradar24",2020-07-25 02:22:53+00:00,0,0,@flightradar24,,
75,wallace_crf81,"Ngm colocou, MC Rebbeca que escolheu, Bárbara tinha a opção de não ir, ela não é obrigada",2020-07-24 20:52:15+00:00,0,2,,,
76,ODROCKnROLL,@OfficialRJDio for me....,2020-07-24 12:38:47+00:00,0,1,@OfficialRJDio,,
77,Gladius_1988,"Mesmo tendo ganhado o Oscar, com Dia de Treinamento. Para mim a melhor atuação do Denzel, é The Hurricane. Ele vinha numa leva de filmes foda como esse e aquele de futebol americano o Duelo de Titãs.",2020-07-24 11:20:46+00:00,0,0,,,
78,VlwGouvea,"mas q crl , sim ele pode mas o sonho de ter um filho menino é comum assim como de ter uma menina,a discussão toda dessa merda acaba sendo em vão o mlc ta la Felizao agr cm o mnr ,fé",2020-07-23 22:11:55+00:00,0,0,,,
79,rodrigues_real,Perdão a intromissão nas comprem na Hurricane,2020-07-23 18:38:54+00:00,0,2,,,
80,ODROCKnROLL,@VanHalen for me,2020-07-23 12:10:46+00:00,0,1,@VanHalen,,
81,feelipelol,quem fala isso com certeza ouviu 30stm errado ou entao nunca escutou a Hurricane,2020-07-22 14:15:00+00:00,0,1,,,
82,Brunabbeta,Rock You Like A Hurricane - Scorpions ,2020-07-22 09:21:21+00:00,0,0,,,
83,lukasoliveirax,Finalmente alguém falando sobre o filme Hurricane. Puta filmaço!,2020-07-20 06:27:17+00:00,0,0,,,
84,Wagner_Soares__,"Bem, depois desse filme da porra que é Hurricane, agora vou pro berço OBS: E Hernane Brocador... VAI TOMAR NO CU, SAI DO MEU SPORT",2020-07-20 06:02:04+00:00,0,1,,,
85,1NegroLindo,Tava olhando o filme do Hurricane e que baita filme e história o negrão passou,2020-07-20 05:56:50+00:00,0,0,,,
86,eucpgomes,Hurricane... Um filme que todos deveriam ser obrigados a assistir,2020-07-20 05:47:14+00:00,0,2,,,
87,terkar_,"Rubin ""Hurricane"" Carter",2020-07-20 04:50:03+00:00,0,3,,,
88,eduandriotti,Dando Hurricane no 12,2020-07-20 04:22:06+00:00,0,2,,,
89,vinnycardozo,Muito bom. Vou ver depois do Hurricane que vai passar agora,2020-07-20 02:43:03+00:00,0,0,,,
90,vinnycardozo,Acabei de ver que vai passar Hurricane daqui a pouco na Globo. Um dos meus favoritos. Deixei salvas as dicas,2020-07-20 02:42:44+00:00,0,2,,,
91,atlascrf,"Hurricane, colors e young God ",2020-07-19 22:26:05+00:00,0,0,,,
92,mybuddyjoao,Ryan maldito coloco 30stm hurricane gatilho,2020-07-19 05:35:48+00:00,0,1,,,
93,poppyflos,That person who blocks all negative that comes in life gracefully Then not knowing how to manage feelings when they all together come like hurricanes. That’d be me.,2020-07-19 04:33:15+00:00,0,0,,,
94,arrobathi,- good morning Miss Butt kitty - good morning Mrs. CPI’s Hurricane - good morning,2020-07-19 02:22:20+00:00,0,0,,,
95,_Southland,1. Drive 2. Hurricane 3. I Walk The Line 4. (Young God) ,2020-07-18 20:58:29+00:00,0,0,,,
96,fvckxcz,"O clipe e mensagem da musica ""hurricane"" do I prevail eh mt lindo...",2020-07-17 14:58:51+00:00,0,0,,,
97,pieceofbruno,"You're like a circus running through my mind Got those sneaky eyes, what you trynna hide? You're like a hurricane inside my veins But I like it babe, so bring on the break",2020-07-17 03:57:55+00:00,0,0,,,
98,gersonofficiell,"When I listened to Hurricanes from @didoofficial for the first time,I knew that I want to do a cover of this song . And I did. I hope u like it. Video and music on my channel. . . Adoro o som da @didoofficial e… https://www.instagram.com/p/CCqXMcUp2fX/?igshid=5d411q9sterf",2020-07-15 12:00:40+00:00,0,0,@didoofficial @didoofficial,,
99,santiagoviny08,"Moonlight, Blackkklansman, Ali, Fique Rico ou Morra Tentando, Historias Cruzadas, Hurricane: O Furacão ( pra mim, um dos mais fodas que ja assisti com Denzel), Mississipi em Chamas, Duelo de Titãs, Coach Carter, Green Book, Um sonho impossível etc Tem um monte kkk ",2020-07-14 18:55:30+00:00,0,1,,,
100,_roll,"o dia que eu usei uma camiseta de uma banda de punk rock num show de heavy metal. uma mulher sem medo. :) “Here I am, rock you like a hurricane” em Rock in Rio https://www.instagram.com/p/CCml0zQluJ3/?igshid=av9g2mnmfm4l",2020-07-14 00:49:57+00:00,0,0,,,
101,leo_ronnie_dio,Rock you like a Hurricane,2020-07-13 19:56:55+00:00,0,1,,,
102,bbaquil13_,Mom Gi If You Really Love our Hurricanes follow this Instagram @exgirafinha,2020-07-12 23:41:41+00:00,0,0,@exgirafinha,,
103,LuzEmperaWisin,#Hurricane #Prediction 12/07 17:00 :: veremos en cuànto tiempo y qué tan cerca de ésta àrea?...#Riddle ,2020-07-12 21:27:06+00:00,1,1,,#Hurricane #Prediction #Riddle,
104,LuzEmperaWisin,#Hurricane #predictions 24/07::Area #Georgia weeks 9! #Ny water oleaje weeks 12! #Haiti area 10 weeks! #Azores months 2! #Barbuda with force hurricane! Area #Islandia weeks 12! 04/07:: Area #Caracas with fore hurricane! #SaintGeorge cat3 months 2! #Bermudas with force hurricane! ,2020-07-12 19:13:42+00:00,1,1,,#Hurricane #predictions #Georgia #Ny #Haiti #Azores #Barbuda #Islandia #Caracas #SaintGeorge #Bermudas,
105,CesarPedrini,Lamborghini Hurricane Evo Spyder ,2020-07-12 17:20:17+00:00,0,5,,,
106,1negao_,Eu escutei o solo de Rock you like a Hurricane do Scorpions pela primeira vez com 10 ANOS de idade e quase surtei 12 anos depois eu ainda fico eufórico como daquela primeira vez kkkkkkkk AAAAAAAAA,2020-07-11 23:03:22+00:00,0,0,,,
107,ODROCKnROLL,I think.. @QueenWillRock We will Rock You &amp; @ledzeppelin Rock'N'Roll,2020-07-11 14:19:50+00:00,0,1,@QueenWillRock @ledzeppelin,,
108,bearsafadaoo,"Quando puder, a gente poderia resolver isso",2020-07-11 14:14:23+00:00,0,4,,,
109,badgalxis,Hurricane (e arrisco dizer que é minha favorita da banda) (com mta cautela pois vcs sabem q sou emocionada ne) ,2020-07-11 03:41:42+00:00,0,1,,,
110,ODROCKnROLL,Easy ...for me .. @BonJovi &amp; @Poison,2020-07-09 12:45:40+00:00,0,2,@BonJovi @Poison,,
111,Brunabbeta,Rock You Like A Hurricane - Scorpions https://open.spotify.com/track/58XWGx7KNNkKneHdprcprX?si=c6GBmaGCS-Gri40S-b1xbw,2020-07-09 10:15:32+00:00,0,0,,,
112,ODROCKnROLL, Eminence Front by @TheWho Kashmir by @ledzeppelin,2020-07-08 22:37:18+00:00,0,2,@TheWho @ledzeppelin,,
113,MelaraJFT,Lamentável... mães precisam ser investigadas... Acho,2020-07-08 03:00:37+00:00,0,4,,,
114,PorrAraujo_,DEM HURRICANES BACK AT IT AGAIN,2020-07-07 21:50:37+00:00,0,1,,,
115,gil_brites,"Acabei de ler no http://Pleno.News https://pleno.news/brasil/cidades/bolsonaro-sobrevoa-areas-atingidas-por-ciclone-em-sc.html O Fera é Fera! Bolsonaro visitou Santa Catarina e foi dar auxílio como Ele faz em o todo o país, é praxe. Bolsonaro foi analisar aquela nuvem ESTRANHA SEGUNDO teleguiada e provocou um HURRICANE .... ",2020-07-04 19:54:01+00:00,2,2,,,
116,mialberconi,"if people were rain, i was drizzle and she was hurricane",2020-07-04 05:21:41+00:00,0,2,,,
117,joaomussi,Tanta gente boa que se foi !!!! Hurricane Smith,2020-07-03 09:58:47+00:00,0,1,,,
118,hpaganotto,3. panic! at the disco - hurricane,2020-07-02 22:29:31+00:00,0,0,,,
119,maestrinapri,39h without electricity after this Hurricane...,2020-07-02 13:28:02+00:00,0,0,,,
120,gil_brites,"O FURACÃO-DALHA (HURRICANE-LEFT) passou pelo Brasil no dia 30/06/2020 - MAS"" o povo brasileiro o filtrou e o - Capitão Bolsonaro com seu ESCUDO de NIÓBIO lhe disse: AFASTE-SE! AQUI NÃO! e o DISSIPOU e dessipará! não adianta TENTAREM q no plano B temos o GRAFENO - ",2020-07-02 12:58:37+00:00,2,8,,,
121,paula_dibb,"Hurricane bomb destroys in Brazil @paula_dibb #anapauladibb em Realengo, Rio De Janeiro, Brazil https://www.instagram.com/p/CCHVdmpDQue/?igshid=1mo6feqwl3f7l",2020-07-01 21:31:20+00:00,0,0,@paula_dibb,#anapauladibb,
122,badgalxis,9- Hurricane - Panic! At The Disco ,2020-07-01 18:15:27+00:00,0,0,,,
123,ODROCKnROLL, I think this picture is about 20 years ago.. ,2020-07-01 05:25:56+00:00,0,1,,,
124,Val_CTF,Crap. Please try not to bring Sweet Lamby over here during a sub tropical hurricane . I'll let tou know if the weather is good enough for travel.,2020-07-01 01:36:13+00:00,0,1,,,
125,ALEXANDRERN15, #Ciclone #hurricane #storm #BRASIL • • • #6VAi ------------------------------ FOLLOW @ALEXANDRERN15 FOLLOW @ALEXANDRERN15 FOLLOW… https://www.instagram.com/p/CCFL-c5JNMM/?igshid=1d7uvmqrom6me,2020-07-01 01:29:59+00:00,0,0,@ALEXANDRERN15 @ALEXANDRERN15,#Ciclone #hurricane #storm #BRASIL #6VAi,
126,P1Motta,"Carlos Alberto Ricelli não é mais ministro, volta a carreira de ator #CICLONE #Hurricane #PortoAlegre #COVIDー19",2020-06-30 21:47:30+00:00,0,1,,#CICLONE #Hurricane #PortoAlegre #COVID,
127,sirisirisiriBx,Here I am Rock you like a hurricane,2020-06-30 03:54:50+00:00,0,5,,,
128,ODROCKnROLL,@VanHalen Diver Down,2020-06-29 19:41:01+00:00,0,2,@VanHalen,,
