User,Text,Date,lat,long
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandRiots",2020-08-31 16:31:14+00:00,31.315604365066026,-106.4185453363884
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandProtests",2020-08-31 16:31:08+00:00,29.40590723319744,-100.71655172980954
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #Portland",2020-08-31 16:30:55+00:00,32.3925565555421,-94.36201491951049
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come.""",2020-08-31 16:30:22+00:00,29.213495962179373,-95.31913948796202
lesly_javier,Hurricane season #watersigns #pisceswomen #pisceslove #cancerwomen #zodiaclove #arieswoman #teamvirgo #virgofacts #virgowomen#watersigns #astrologysigns #scorpiowoman #virgomemes #leowomen #horoscopeposts… https://www.instagram.com/p/CEj3ZCIjp0T/?igshid=15dd770hzajmn,2020-08-31 16:28:32+00:00,28.980397596575926,-95.65282177459588
__skyechanae,"Anyone in the Baytown / Houston area displaced from Hurricane Laura, and in the need of clothes? I have jeans ranging from sizes 10-12 &amp; 29-31. I also have a few pairs of shoes. Please send me a dm!",2020-08-31 16:25:44+00:00,29.948555050489063,-99.93622674182392
DehhDon,"So kahl and stace decide that it going be funny to lock me out of MY room, so I close the hurricane shutters and switch off the power from in the room ",2020-08-31 16:24:27+00:00,31.25557127343613,-105.02504434544466
HisRighteousne1,The same plywood is used for a peaceful hurricane.,2020-08-31 16:24:01+00:00,31.06227728345321,-102.6366814400545
PrisonBreakTatt,Click the link below to help our first responders devastated by Hurricane Laura. Every bit helps. #giveuntilithurts . https://gf.me/u/yu2qkk . We are HEROES. WE ARE FIRST RESPONDERS. SUPPORT THOSE RISKING THEIR LIVES DAILY FOR YOU. Email us for your appointment today! . BK Klev – at Prison Break Tattoos,2020-08-31 16:16:11+00:00,31.17143578054526,-100.67912187921915
MojoMoomey, ,2020-08-31 16:08:15+00:00,32.1587680209113,-101.82935940673083
kristindiable,"Today’s the day (in the USA), tonight’s the night (Europe, wish we could still take flight). Hope you’ll tune in and join us via Facebook. My cut of tickets/tips for this airing will be donated to hurricane Laura… https://www.instagram.com/p/CEj0VCzB92J/?igshid=1dz9n6nlox64o",2020-08-31 16:01:46+00:00,32.70246906848467,-105.63255190904863
BRICBreaker,"Coronavirus Trump's fault. Hurricanes trumps fault. Calif wildfires Trump's fault. Economic distress Trump's fault. Warm weather Trump's fault. Blizzard trumps fault. Antifa riots, Trump's fault. Aliens landed, Trump's fault... ",2020-08-31 15:59:04+00:00,30.367982399035395,-106.15708086964152
spookylittlegrl,"Hopefully I will deploy by the end of next week. If you aren’t in an area directly affected by disasters, you never really know the true scope of destruction and devastation. Please support the @RedCross in their efforts for the recovery from Hurricane Laura #arc #HurricaneLaura",2020-08-31 15:55:34+00:00,31.313999627432295,-94.08598111821071
RobertRoyalFNDN,Please join us in our efforts to help our neighboring communities affected by Hurricane Laura! This is the time we must bond together!! Together we can and will make a difference! #louisianastrong #Westbank #Algiers… https://www.instagram.com/p/CEjzmLHlJEG/?igshid=1fends2wzqivl,2020-08-31 15:55:22+00:00,32.00881628606056,-101.39365220052225
Wx_Max,"Look at these SST, great for hurricane making! @DanManWX @danpeckwx @SamWnek @Ginger_Zee @WXmel6",2020-08-31 15:53:17+00:00,31.548204516710864,-98.49409990948399
staceyhopkinsga,Who had four hurricanes on their 2020 Apocalypse Bingo card? ,2020-08-31 15:48:58+00:00,31.654169651504436,-102.33197783539502
DavidRo00556237,First Hurricane now Labor Day weekend coming up lol ima need another week off boss ,2020-08-31 15:37:12+00:00,30.851928631885986,-106.91036404502142
mickeysmithjrs,Hurricane Laura is gone as well as the news media but the story is far from over (part 1 of the rebuild) #KeepOnGoing #LetUsBeTheSoundToChangeTheWorld @GRAMMYAdvocacy @RecordingAcad @FirstLadyOfLA @LouisianaGov @aliciakeys @TheEllenShow @HarryConnickJR,2020-08-31 15:32:30+00:00,31.028781692483054,-94.17914030062765
ItsDreemisland,"Some of them can’t cook, and been eating can soup and tuna like they in a hurricane, That’s why they excited",2020-08-31 15:30:25+00:00,30.68005264409008,-92.74269927733143
87_abbygail,Dude I loveeeee my city but hurricane season is not my favorite.,2020-08-31 15:27:53+00:00,31.38471428685171,-93.18440937651152
Alpine_Joy," Hey! Stu! • Reminds me of Gen. Jack D. Ripper in Dr. Strangelove: “Total Commitment!” • Man doesn’t want to be your producer, searches for easiest way to escape, heads for the closest hurricane. • Like I said, Total Commitment!",2020-08-31 15:27:34+00:00,29.09702938464492,-97.11481816285851
Andrew_Ivins,"VIP: Miami only has a few spots left, but the Hurricanes are still after a number of recruits. We have an updated list of the names to know moving forward. https://247sports.com/college/miami/LongFormArticle/Miamis-10-most-wanted-recruits-right-now-150866245/",2020-08-31 15:26:47+00:00,31.32397134944164,-106.92553478177125
25NewsWEEK,So many of you have donated to our hurricane relief drive so far. We'll be here till 10 p.m. collecting your food and supplies to help the victims of #HurricaneLaura2020.,2020-08-31 15:24:02+00:00,30.77890881299018,-105.97582071502754
Fyahstartah,Me:- man September 12th caah come soon enough! My birthday party is gonna be super wicked!! *-September 12th 1988 arrives-* Hurricane Gilbert:- zuup braaah!? ,2020-08-31 15:23:46+00:00,30.597548454905724,-98.01568267660863
puroclean_nefl,Hurricane Prepare Resource ,2020-08-31 15:19:50+00:00,31.19545627323054,-104.82630467441903
slatedetail,"Thank You to everyone who contributed to the Armsteads. We were able to raise over $1200 as well as provide clothing for the kids over the weekend. As anyone from New Orleans can attest, Hurricanes can bring out the… https://www.instagram.com/p/CEjvhinBtpE/?igshid=4f19nzu6k6ht",2020-08-31 15:19:46+00:00,30.90261037281995,-96.66610860172605
NationalGym,"It's happening this coming weekend in Debray, Florida hosted by NGA Promoter Tracy Simonds. NGA PRO/AM Hurricane Classic September 5, 2020 - Debray, FL TIERS 1, 3, and 4 Tracy Simonds, NGA Promoter… https://www.instagram.com/p/CEjvf4ODUET/?igshid=132xs0sxlay4d",2020-08-31 15:19:36+00:00,31.506517699970438,-94.76135942346086
dkenn55,I'm raising money for Winnfield Hurricane Laura Relief Fund. Click to Donate ,2020-08-31 15:19:07+00:00,32.218249846536814,-101.29851792992906
HOIABC_News,So many of you have donated to our hurricane relief drive so far. We'll be here till 10 p.m. collecting your food and supplies to help the victims of #HurricaneLaura2020. @Heart of Illinois ABC https://www.instagram.com/p/CEjvYHBFcCL/?igshid=1gtl9l9m1gjvi,2020-08-31 15:18:30+00:00,29.726472164908873,-94.74189973342234
tmold16,"A local treasure, USCG Hollyhock, is on its way to help with hurricane relief in the Gulf of Mexico. Do us proud and stay safe! #PortHuron #HurricaneLaura",2020-08-31 15:16:32+00:00,29.796944366941677,-93.26037826902328
YouGottaLoveJG_, hold on ivory what?? the 9k payments are money coming from companies like FEMA who give money out to hurricane/tornado victims to help “restart” life cause they lost everything,2020-08-31 15:16:20+00:00,32.91251868021822,-95.43106903444668
