,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
8663,CNBrandonScott,Every year around hurricane season I’m reminded that I used to be funnier and weirder. ,2020-08-26 19:48:42+00:00,0,3,,,
8664,rovertmurd,Hurricane Laura said y’all wanna see a WAP?? ,2020-08-26 19:48:32+00:00,0,7,,,
8665,__tisharaquel,"Technology is a mf , we never had so many graphics of a hurricane",2020-08-26 19:48:19+00:00,1,4,,,
8666,laurentisdue,"I can not stress this enough, if you’re on the gulf coast please evacuate, Hurricane Laura is no joke",2020-08-26 19:48:14+00:00,0,5,,,
8667,MesonetMan,"First sounding of #Laura is away near Vinton, LA! Also PIPS is deployed. This gives us a view of the hurricane from land and air to validate the @OU_SRs data! @NOAAResearch @NOAANSSL @NWSBrownsville @NWSHouston @NWSLakeCharles @NWSSPC @HRD_AOML_NOAA",2020-08-26 19:48:07+00:00,9,41,@OU_SRs @NOAAResearch @NOAANSSL @NWSBrownsville @NWSHouston @NWSLakeCharles @NWSSPC @HRD_AOML_NOAA,#Laura,
8668,StAugPastor,"Prayers for all who will be impacted by Hurricane Laura. “Almighty Father, all the elements of nature obey your commands. Calm the storms and hurricanes that threaten us and turn our fear of your power into praise of your goodness.” ",2020-08-26 19:47:59+00:00,1,10,,,
8669,tanner_barth,I have covered three hurricanes in the past two years and it is never a pretty sight. Praying for those in the path of #HurricanLaura.,2020-08-26 19:47:00+00:00,0,16,,#HurricanLaura,
8670,NoScaleKitchen,"Heard a hurricane coming, praying for all my people in Texas.",2020-08-26 19:46:59+00:00,0,10,,,
8671,ODtheMC,Praying everyone is safe during this hurricane back home. ,2020-08-26 19:46:40+00:00,0,1,,,
8672,RyanSmithies,"Getting ready to head to the airport and fly what will likely by the Laura landfall mission. After missing Dorian at peak intensity last year, this will be my first “Major” hurricane. Let’s go!",2020-08-26 19:46:35+00:00,9,133,,,
8673,WBCBowie,Praying for our friends & fellow Americans in the path of Hurricane Laura! ,2020-08-26 19:46:21+00:00,6,23,,,
8674,StudioGrafiko,At least hurricanes give you some time to prepare vs. tornadoes. Those scare the shit out of me,2020-08-26 19:45:59+00:00,0,0,,,
8675,hinojosamd,Anyone know if trump is gonna nuke hurricane Laura and Marco at the same time???,2020-08-26 19:45:57+00:00,0,0,,,
8676,JDejuan2,I wish Hurricanes weren’t so life-threatening bc they really are so interesting to read about and watch...,2020-08-26 19:45:53+00:00,0,0,,,
8677,lmartz98,I won’t be able to say “I came in like a Hurricane” lightly anymore ,2020-08-26 19:45:34+00:00,0,3,,,
8678,TylerJThrasher,The Texas animals have arrived! Our furry friends have been flown halfway across the country to our SPCA to evacuate ahead of Hurricane Laura’s impact. @8NEWS,2020-08-26 19:45:32+00:00,1,14,@8NEWS,,
8679,YDPA_2,Meals for the hurricane just giving em out to residents,2020-08-26 19:45:23+00:00,0,1,,,
8680,KattGutierrez,Oof we’re lucky both of these hurricanes decided to leave New Orleans alone,2020-08-26 19:45:12+00:00,0,0,,,
8681,WChandlerBlack,Is there hurricane etiquette ?,2020-08-26 19:44:55+00:00,0,1,,,
8682,BrendaSexton,Praying for all those in the path of Hurricane Laura. Please listen to the calls to evacuate. Take care of one another. God bless.,2020-08-26 19:44:52+00:00,0,0,,,
8683,MistyMoon65,And so it begins.. #hurricane #WednesdayWisdom ,2020-08-26 19:44:31+00:00,0,1,,#hurricane #WednesdayWisdom,
8684,mawalker_SBAD,"“Dad... quick, let’s get some shots up before the hurricane gets here!” Um, Yes! #Laura #Pixaloop #proudpapa #dadlife",2020-08-26 19:44:22+00:00,0,9,,#Laura #Pixaloop #proudpapa #dadlife,
8685,StringerBoston,A look of the radar over #Texas and #Louisiana. #HurricanLaura is still increasing in intensity and is most likely going to become a category 5 Hurricane #WeatherNation,2020-08-26 19:43:45+00:00,1,5,,#Texas #Louisiana #HurricanLaura #WeatherNation,
8686,NicholasTrahan4,I hope everyone that didn’t evacuate for Hurricane Laura stays safe and my prayers are with you. I stayed behind my self so I hope everyone stays safe through this storm. Landfall is in 7 hours and 17 minutes. #HurricanLaura,2020-08-26 19:43:43+00:00,0,2,,#HurricanLaura,
8687,2Cobey2,For the people who choose to stay during a Hurricane can you tell me why you stay?,2020-08-26 19:43:39+00:00,0,0,,,
